City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Pisco,PE,6/5/21 20:28,-13.7,-76.2167,67.01,77,0,11.5
73,Marrakesh,MA,6/5/21 20:28,31.6315,-8.0083,78.87,41,0,12.66
74,Inyonga,TZ,6/5/21 20:28,-6.7167,32.0667,68.9,61,66,8.7
75,Bredasdorp,ZA,6/5/21 20:26,-34.5322,20.0403,49.32,93,0,3.09
76,Hilo,US,6/5/21 20:28,19.7297,-155.09,81.25,66,40,12.66
77,Seminole,US,6/5/21 20:28,28.7086,-81.2081,92.35,73,40,8.05
78,Itarema,BR,6/5/21 20:28,-2.9248,-39.9167,80.33,72,3,13.13
79,Goderich,CA,6/5/21 20:28,43.7501,-81.7165,85.21,39,100,16.11
80,Jamestown,US,6/5/21 20:28,42.097,-79.2353,86.09,41,1,16.11
81,Puerto Ayora,EC,6/5/21 20:28,-0.7393,-90.3518,80.56,87,100,5.01
82,Juazeiro,BR,6/5/21 20:25,-9.4117,-40.4986,80.78,69,75,9.22
83,Bethel,US,6/5/21 20:24,41.3712,-73.414,94.01,44,1,10.36
84,Tiksi,RU,6/5/21 20:28,71.6872,128.8694,36.32,80,90,7.09
85,Khani,GE,6/5/21 20:28,41.9563,42.9566,51.37,98,91,1.05
86,Saskylakh,RU,6/5/21 20:28,71.9167,114.0833,36.68,83,100,1.32
87,Bambous Virieux,MU,6/5/21 20:28,-20.3428,57.7575,68.25,94,20,6.38
88,Polyarnyy,RU,6/5/21 20:28,69.1989,33.4478,41.47,75,17,8.93
89,Carnarvon,AU,6/5/21 20:29,-24.8667,113.6333,59.07,82,67,6.91
90,Debno,PL,6/5/21 20:29,52.739,14.698,68.54,77,14,6.71
91,Berekum,GH,6/5/21 20:29,7.4534,-2.584,78.89,72,95,5.93
92,Saint-Pierre,RE,6/5/21 20:29,-21.3393,55.4781,74.57,90,90,4.61
93,Qaqortoq,GL,6/5/21 20:29,60.7167,-46.0333,57.7,73,100,10.36
94,Bluff,NZ,6/5/21 20:29,-46.6,168.3333,46.38,76,10,5.93
95,Oranjemund,NA,6/5/21 20:29,-28.55,16.4333,69.82,28,25,11.68
96,Bowen,AU,6/5/21 20:29,-20.0167,148.2333,48.42,63,99,7.99
97,Grand-Santi,GF,6/5/21 20:29,4.25,-54.3833,85.05,63,19,4.65
98,Pevek,RU,6/5/21 20:26,69.7008,170.3133,43.05,83,94,7.92
99,Yatou,CN,6/5/21 20:29,37.15,122.3833,61.74,80,0,6.06
100,Thompson,CA,6/5/21 20:29,55.7435,-97.8558,62.76,67,90,2.3
101,Poronaysk,RU,6/5/21 20:29,49.2167,143.1167,48.78,91,100,0.29
102,Kaeng Khoi,TH,6/5/21 20:29,14.5862,100.9976,83.88,75,100,4.92
103,Georgetown,MY,6/5/21 20:25,5.4112,100.3354,79.9,92,40,4.61
104,Port Alfred,ZA,6/5/21 20:29,-33.5906,26.891,59.32,78,0,15.55
105,Lorengau,PG,6/5/21 20:27,-2.0226,147.2712,78.51,89,100,12.24
106,Panikihan,PH,6/5/21 20:29,13.9028,122.1347,80.29,82,96,2.44
107,Tomari,RU,6/5/21 20:29,47.7658,142.0683,47.3,95,100,2.82
108,Severo-Kurilsk,RU,6/5/21 20:29,50.6789,156.125,42.03,95,100,16.04
109,San Rafael,AR,6/5/21 20:29,-34.6177,-68.3301,55.36,49,99,6.17
110,Burnie,AU,6/5/21 20:27,-41.0667,145.9167,47.46,81,97,7.14
111,Smithers,CA,6/5/21 20:29,54.7804,-127.1743,55.72,50,75,6.91
112,Lata,PT,6/5/21 20:27,40.1629,-8.3327,59.81,74,1,3.71
113,Belyy Yar,RU,6/5/21 20:29,53.6039,91.3903,44.49,93,75,12.03
114,Sakakah,SA,6/5/21 20:29,29.9697,40.2064,85.57,15,0,8.81
115,Erzin,TR,6/5/21 20:29,36.9559,36.2,72.32,76,0,3.04
116,Mecca,SA,6/5/21 20:25,21.4267,39.8261,85.93,57,0,4.27
117,Bautista,PH,6/5/21 20:29,15.8112,120.4737,76.98,90,100,3.38
118,Marystown,CA,6/5/21 20:29,47.1666,-55.1483,55.44,88,60,5.32
119,Longyearbyen,SJ,6/5/21 20:29,78.2186,15.6401,35.44,69,75,12.66
120,Port Hardy,CA,6/5/21 20:29,50.6996,-127.4199,51.98,82,75,4.61
121,Inhambane,MZ,6/5/21 20:28,-23.865,35.3833,66.02,73,76,9.98
122,Aripuana,BR,6/5/21 20:28,-9.1667,-60.6333,93.36,36,75,4.12
123,Yellowknife,CA,6/5/21 20:29,62.456,-114.3525,66.29,77,75,1.99
124,Upernavik,GL,6/5/21 20:26,72.7868,-56.1549,37.83,87,74,5.23
125,Abu Zabad,SD,6/5/21 20:29,12.35,29.25,84.27,47,100,16.2
126,Lucapa,AO,6/5/21 20:29,-8.4192,20.7447,69.03,44,92,4.88
127,Dikson,RU,6/5/21 20:29,73.5069,80.5464,30.15,91,99,12.66
128,Yanji,CN,6/5/21 20:29,42.9075,129.5078,49.23,91,40,4.38
129,Bang Ban,TH,6/5/21 20:29,14.3739,100.4853,85.95,65,100,10.07
130,Codrington,AU,6/5/21 20:26,-38.2667,141.9667,52.92,94,100,7.83
131,Meulaboh,ID,6/5/21 20:29,4.1363,96.1285,75.11,89,92,3.96
132,Gulu,UG,6/5/21 20:29,2.7746,32.299,66.2,93,100,3.98
133,Ulaanbaatar,MN,6/5/21 20:24,47.9077,106.8832,66.33,30,75,6.35
134,Cheyenne,US,6/5/21 20:29,41.14,-104.8203,90.95,23,1,6.91
135,Celestun,MX,6/5/21 20:29,20.8667,-90.4,86.7,65,100,9.62
136,Gladstone,AU,6/5/21 20:29,-23.85,151.25,52.79,71,0,5.75
137,Bahia Blanca,AR,6/5/21 20:29,-38.7196,-62.2724,56.3,37,0,10
138,Mana,GF,6/5/21 20:29,5.6592,-53.7767,81.09,80,8,10.96
139,Bull Savanna,JM,6/5/21 20:29,17.8868,-77.5902,83.73,63,14,18.57
140,Cidreira,BR,6/5/21 20:29,-30.1811,-50.2056,73.56,72,100,5.64
141,Isangel,VU,6/5/21 20:29,-19.55,169.2667,75.65,83,99,7.61
142,Noumea,NC,6/5/21 20:29,-22.2763,166.4572,73,99,100,15.26
143,Karia,NG,6/5/21 20:29,11.7306,11.1629,89.28,36,80,9.53
144,Udachnyy,RU,6/5/21 20:29,66.4167,112.4,41.81,58,10,10.85
145,Mahebourg,MU,6/5/21 20:29,-20.4081,57.7,68.29,94,20,6.91
