City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,76.71,overcast clouds,-23.1203,-134.9692,Pension Maro'i
1,Manaure,CO,86.65,overcast clouds,11.7751,-72.4445,Hotel Palaaima
6,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
8,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Victoria,HK,82.45,scattered clouds,22.2855,114.1577,Mini Hotel Central
17,Hilo,US,79.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
