City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Barrow,US,2021-06-06 20:06:46,71.2906,-156.7887,32.02,86,90,10.36,overcast clouds
60,Nantucket,US,2021-06-06 20:10:50,41.2835,-70.0995,86.11,57,1,10.36,clear sky
61,Lata,PT,2021-06-06 20:10:51,40.1629,-8.3327,61.36,76,0,3.71,clear sky
62,Orasac,BA,2021-06-06 20:06:02,44.6289,16.0711,60.06,97,100,0.4,overcast clouds
63,North Battleford,CA,2021-06-06 20:10:53,52.7834,-108.2847,63.43,50,76,16.22,broken clouds
64,Kargasok,RU,2021-06-06 20:10:56,59.0556,80.8572,52.65,96,100,8.75,overcast clouds
65,Qaanaaq,GL,2021-06-06 20:10:57,77.484,-69.3632,40.37,84,40,5.28,scattered clouds
66,Namibe,AO,2021-06-06 20:10:59,-15.1961,12.1522,73.92,62,47,5.84,scattered clouds
67,Avarua,CK,2021-06-06 20:11:00,-21.2078,-159.775,73.45,68,75,3.44,broken clouds
68,Constitucion,CL,2021-06-06 20:10:56,-35.3333,-72.4167,54.77,63,100,10.89,overcast clouds
69,Arraial Do Cabo,BR,2021-06-06 20:10:33,-22.9661,-42.0278,76.86,83,0,12.66,clear sky
70,Belyy Yar,RU,2021-06-06 20:11:03,53.6039,91.3903,48.09,81,0,6.44,clear sky
71,Esperance,AU,2021-06-06 20:11:05,-33.8667,121.9,59.56,59,100,28.39,overcast clouds
72,Naze,JP,2021-06-06 20:11:07,28.3667,129.4833,69.48,91,100,2.98,light rain
73,Oranjestad,AW,2021-06-06 20:11:08,12.524,-70.027,85.95,70,20,25.32,few clouds
74,Coihaique,CL,2021-06-06 20:11:09,-45.5752,-72.0662,48.81,71,75,6.91,broken clouds
75,Binzhou,CN,2021-06-06 20:11:11,37.3667,118.0167,74.89,48,100,13.02,light rain
76,Butaritari,KI,2021-06-06 20:11:12,3.0707,172.7902,82.22,72,20,5.1,light rain
77,Ugoofaaru,MV,2021-06-06 20:11:13,5.6667,73.0,82.31,78,99,15.59,overcast clouds
78,Maku,IR,2021-06-06 20:11:15,39.2911,44.4521,61.05,40,0,5.3,clear sky
79,Mastic Beach,US,2021-06-06 20:11:17,40.7668,-72.8521,93.42,65,1,11.5,clear sky
80,Banposh,IN,2021-06-06 20:11:20,22.25,84.8,86.38,49,13,2.26,few clouds
81,Provideniya,RU,2021-06-06 20:11:21,64.3833,-173.3,39.31,70,20,4.47,few clouds
82,Menongue,AO,2021-06-06 20:11:22,-14.6585,17.691,54.63,54,36,4.88,scattered clouds
83,Paamiut,GL,2021-06-06 20:11:24,61.994,-49.6678,38.14,97,100,3.31,light rain
84,Dutlwe,BW,2021-06-06 20:11:25,-23.9833,23.9,49.01,51,0,10.6,clear sky
85,Coquimbo,CL,2021-06-06 20:06:29,-29.9533,-71.3436,56.93,82,90,7.54,overcast clouds
86,Roma,US,2021-06-06 20:09:42,43.2128,-75.4557,89.89,45,1,9.22,clear sky
87,Kozlovo,RU,2021-06-06 20:11:29,56.5167,36.2667,58.59,83,92,2.53,overcast clouds
88,Plouzane,FR,2021-06-06 20:11:30,48.3833,-4.6167,59.18,79,75,7.45,broken clouds
89,Miandrivazo,MG,2021-06-06 20:11:32,-19.5167,45.4667,71.91,68,51,4.36,broken clouds
90,Alice Springs,AU,2021-06-06 20:11:34,-23.7,133.8833,38.75,75,16,3.74,few clouds
91,Khashuri,GE,2021-06-06 20:11:35,41.9941,43.5999,50.67,98,100,4.18,overcast clouds
92,Mayo,US,2021-06-06 20:11:36,38.8876,-76.5119,96.35,62,13,1.01,few clouds
93,Klaksvik,FO,2021-06-06 20:11:38,62.2266,-6.589,50.92,98,100,16.22,overcast clouds
94,Chuncheng,CN,2021-06-06 20:11:39,22.1731,111.7886,73.8,89,0,2.04,clear sky
95,Les Cayes,HT,2021-06-06 20:11:40,18.2,-73.75,84.25,67,51,12.28,broken clouds
96,Upata,VE,2021-06-06 20:11:42,8.0086,-62.3989,86.2,64,82,7.67,broken clouds
97,Mandalgovi,MN,2021-06-06 20:11:43,45.7625,106.2708,46.78,79,7,21.0,clear sky
